Departamento,Gasto_Total
AMAZONAS,1797287826.9499993
ANCASH,5457101847.610001
APURIMAC,2679938940.1699996
AREQUIPA,5652414344.889998
AYACUCHO,3295000692.7
CAJAMARCA,5307941551.260001
CUSCO,7555826039.86
HUANCAVELICA,2104329747.8799999
HUANUCO,2687383093.4200006
ICA,2968050514.3999996
JUNIN,4320659285.38
LA LIBERTAD,5164076528.870001
LAMBAYEQUE,2970893902.3500004
LIMA,127129156559.88
LORETO,4063141973.9499993
MADRE DE DIOS,680550847.6399999
MOQUEGUA,1424197790.4499998
PASCO,1256569698.4900002
PIURA,5814457079.49
PROVINCIA CONSTITUCIONAL DEL CALLAO,4887332371.01
PUNO,4145724152.3100004
SAN MARTIN,2999696153.3100014
TACNA,2021336484.4100003
TUMBES,996623024.44
UCAYALI,1938872225.43
